plz	provider	tarif	price	deckungssumme
10997	Prokundo	Exklusiv plus (5 Jahre ohne Vorschaden)	67,95	15
10997	R+V	Privatschutz	93,06	15
10997	Rhion	Standard	48,15	5
10997	Rhion	Plus	61,19	5
10997	Rhion	Plus	64,55	10
10997	Rhion	Premium	75,85	20
10997	Schleswiger	Plus	54,19	5
10997	Schleswiger	Exklusiv	69,73	15
10997	Syncro24	BLUE LINE TIP	54,74	10
10997	Syncro24	BLUE LINE TOP	71,40	10
10997	VHV	Klassik-Garant	48,20	10
10997	VHV	Exklusiv mit Best-Leistungs-Garantie	75,57	50
10997	VOLKSWOHL BUND	Komfort	67,83	10
